group,group_name,target_block_count,models,mixed_mass_mean,forced_mix_l1_mean,forced_mix_l1_per_mixed_mass,weighted_abs_type_share_distortion,weighted_attn_mlp_gap
standard_attnres,Standard AttnRes,4,1,0.8921699014263288,0.23801780907576012,0.2667852935805574,0.1333926467902787,0.26620366188500516
standard_attnres,Standard AttnRes,8,1,0.8849875613389888,0.2610322262427304,0.29495581367018087,0.14747790683509043,0.2974855182628056
standard_attnres,Standard AttnRes,16,1,0.8532217973056072,0.2602328030326498,0.3050001814937686,0.1525000907468843,0.4238737860517456
sliced_lr_attnres,Sliced LR-AttnRes,4,6,0.8534372503977871,0.1424728079286297,0.16792141926144843,0.08396070963072422,0.1724850789462468
sliced_lr_attnres,Sliced LR-AttnRes,8,6,0.8457885001700665,0.15886791955768012,0.18897497322834458,0.09448748661417229,0.19548319028224936
sliced_lr_attnres,Sliced LR-AttnRes,16,6,0.8266731810064479,0.16514150854162593,0.20134350608396812,0.10067175304198406,0.3460365091566968
lr_attnres,Projected LR-AttnRes,4,3,0.889767875735556,0.11078314177158936,0.12442524841644996,0.06221262420822498,0.13672556369522323
lr_attnres,Projected LR-AttnRes,8,3,0.8804253658434944,0.11938667133570151,0.13555819683383885,0.06777909841691943,0.15022444866923593
lr_attnres,Projected LR-AttnRes,16,3,0.8615064754238566,0.12480287139343033,0.14499242259395237,0.07249621129697618,0.3276158509913905
