repo_id,label,group,group_name,target_block_count,residual_idx,mixed_mass,forced_mix_l1,forced_mix_l1_per_mixed_mass,observed_attn_share,count_attn_share
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,1,0.0,0.0,0.0,0.0,0.0
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,2,0.7308685865586366,0.3702942599368289,0.5066495766091059,0.246675211695447,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,3,0.22936329976617686,0.1254210599034338,0.5468227045534033,0.39325531438996497,0.6666666666666666
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,4,0.8473350789428242,0.22566229774336513,0.26632002303611957,0.3668399884819402,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,5,0.8193415350439709,0.22353191091641172,0.272818966640591,0.46359051667970447,0.6
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,6,0.8955600388438963,0.1347567675771509,0.1504720641076306,0.4247639679461847,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,7,0.6583447827904568,0.06106227628008376,0.09275121163908295,0.4536243941804585,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,8,0.91172738506542,0.2109061216678077,0.23132586025446014,0.38433706987276994,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,9,0.874357227253069,0.0924858063690333,0.10577576702784516,0.5340549760763987,0.5656287592695631
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,10,0.9199770092377362,0.12440725600505921,0.135228657624976,0.43238567118751203,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,11,0.8776360242741137,0.17647628214482852,0.20108140192945106,0.45128446236147407,0.5518251633261996
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,12,0.9171150769864216,0.26584601244412176,0.28987203363581576,0.35506398318209215,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,13,0.6754327368074499,0.33163181497389826,0.49099162196581353,0.2545041890170932,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,14,0.9329636810343653,0.13037233141144902,0.13973998566257886,0.43013000716871047,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,15,0.9044258793819757,0.27040918347890164,0.29898434978848815,0.4101136082213438,0.559605783115588
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,16,0.9461289476196288,0.19090681862771303,0.20177674418272115,0.4269982476499663,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,17,0.9337882977414391,0.21246981391705938,0.22753531440794636,0.48861685897113216,0.5566397309119226
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,18,0.9489317584112742,0.22341437146590076,0.235437764081104,0.38228111795944797,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,19,0.8658280683344428,0.1547983597710396,0.1787864882560561,0.41060675587197193,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,20,0.9576587867449848,0.234602921644256,0.24497548071548,0.41453177436676486,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,21,0.9655915773776549,0.1551767603877861,0.16070641462015833,0.6262519075160198,0.5843461877589027
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,22,0.9818220013772455,0.37989960690417013,0.38693327952650075,0.34385234146383103,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,23,0.9672193573096889,0.10978307519505562,0.11350380279858766,0.5361736418715924,0.5709481910010363
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,24,0.9604060458524788,0.5303012819864173,0.5521636231638979,0.25939016704315276,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,25,0.6547698855013927,0.1294231998991615,0.19766211422514518,0.40116894288742744,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,26,0.9625687408166355,0.40141960405138877,0.4170295450388589,0.29148522748057054,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,27,0.9611627244772919,0.18072634024941803,0.18802886925073195,0.47401374699198123,0.5680281816173471
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,28,0.9655064168429699,0.2829425538165071,0.2930509304554161,0.3576463476640331,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,29,0.9690067404918978,0.2600697629782181,0.26838798133251235,0.45112879454564686,0.5610467872983941
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,30,0.9666719983059276,0.538188660543836,0.5567438195034099,0.22162809024829505,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,31,0.8519664546512673,0.31403889087960124,0.36860476039299667,0.3370526066938475,0.5
Jonnester/LR-AttnRes-Full,Standard AttnRes Full,standard_attnres,Standard AttnRes,8,32,0.9711104271634353,0.40394098367125586,0.41595782762949746,0.39064920653543045,0.5
