family,family_name,rank,non_split_blocks,split_blocks,final_max_sources,non_split_source_sum,split_source_sum,non_split_avg_sources,split_avg_sources,source_sum_overhead_pct,non_split_added_flops_pct,split_added_flops_pct,absolute_flop_delta_pct,relative_total_flop_overhead_pct,relative_depth_kernel_overhead_pct,projected_key_const_pct
standard_attnres,Standard AttnRes,,4,2,5,168,190,3.5,3.9583333333333335,13.095238095238093,0.11160717647058824,0.12622240196078433,0.014615225490196088,13.095238095238093,13.095238095238093,0.0
sliced_lr_attnres,Sliced LR-AttnRes r=64,64,4,2,5,168,190,3.5,3.9583333333333335,13.095238095238093,0.0592913725490196,0.06705571895424836,0.007764346405228759,13.095238095238093,13.095238095238093,0.0
lr_attnres,Projected LR-AttnRes r=32,32,4,2,5,168,190,3.5,3.9583333333333335,13.095238095238093,1.024809411764706,1.0323453823529412,0.007535970588235186,0.7353533741711438,13.095238095238093,0.9672620000000001
standard_attnres,Standard AttnRes,,8,4,9,264,284,5.5,5.916666666666667,7.575757575757569,0.17538270588235294,0.18866927450980395,0.013286568627451006,7.575757575757591,7.575757575757591,0.0
sliced_lr_attnres,Sliced LR-AttnRes r=64,64,8,4,9,264,284,5.5,5.916666666666667,7.575757575757569,0.09317215686274509,0.10023065359477124,0.0070584967320261455,7.575757575757569,7.575757575757569,0.0
lr_attnres,Projected LR-AttnRes r=32,32,8,4,9,264,284,5.5,5.916666666666667,7.575757575757569,1.0576936470588236,1.0645445294117648,0.006850882352941179,0.6477189658831595,7.575757575757569,0.9672620000000001
standard_attnres,Standard AttnRes,,16,8,17,456,472,9.5,9.833333333333334,3.5087719298245723,0.30293376470588235,0.31356301960784316,0.010629254901960816,3.5087719298245723,3.5087719298245723,0.0
sliced_lr_attnres,Sliced LR-AttnRes r=64,64,16,8,17,456,472,9.5,9.833333333333334,3.5087719298245723,0.16093372549019608,0.16658052287581698,0.005646797385620905,3.50877192982455,3.50877192982455,0.0
lr_attnres,Projected LR-AttnRes r=32,32,16,8,17,456,472,9.5,9.833333333333334,3.5087719298245723,1.123462117647059,1.1289428235294119,0.005480705882352943,0.48784073768606273,3.5087719298245723,0.9672620000000001
