repo_id,label,group,residual_idx,category,count,mass_mean,mass_std
Jonnester/LR-AttnRes-Full,Full,standard_attnres,25,previous,1007616,0.9630285201033926,0.011817156054143995
Jonnester/LR-AttnRes-Full,Full,standard_attnres,26,embedding,1007616,0.03743125755733591,0.016056071713313937
Jonnester/LR-AttnRes-Full,Full,standard_attnres,26,previous,1007616,0.9625687410191792,0.016056011893428975
Jonnester/LR-AttnRes-Full,Full,standard_attnres,27,embedding,1007616,0.03883727624770102,0.013075302513743139
Jonnester/LR-AttnRes-Full,Full,standard_attnres,27,previous,1007616,0.961162722692257,0.013075533494903742
Jonnester/LR-AttnRes-Full,Full,standard_attnres,28,embedding,1007616,0.03449358500358535,0.011396317245139245
Jonnester/LR-AttnRes-Full,Full,standard_attnres,28,previous,1007616,0.9655064165107603,0.011396437392324883
Jonnester/LR-AttnRes-Full,Full,standard_attnres,29,embedding,1007616,0.030993262002986622,0.012127780875052566
Jonnester/LR-AttnRes-Full,Full,standard_attnres,29,previous,1007616,0.9690067404653968,0.012127456733059512
Jonnester/LR-AttnRes-Full,Full,standard_attnres,30,embedding,1007616,0.0333280048931275,0.012144828782754483
Jonnester/LR-AttnRes-Full,Full,standard_attnres,30,previous,1007616,0.9666719930927928,0.012145035344798837
Jonnester/LR-AttnRes-Full,Full,standard_attnres,31,embedding,1007616,0.05440192581798003,0.021301067920860086
Jonnester/LR-AttnRes-Full,Full,standard_attnres,31,previous,1007616,0.9455980779678841,0.021300748251488432
Jonnester/LR-AttnRes-Full,Full,standard_attnres,32,embedding,1007616,0.028889575064545724,0.01059781736574888
Jonnester/LR-AttnRes-Full,Full,standard_attnres,32,previous,1007616,0.9711104224367839,0.010598074589303062
Jonnester/LR-AttnRes-Full,Full,standard_attnres,33,embedding,1007616,0.026520736515522003,0.00943502247613092
Jonnester/LR-AttnRes-Full,Full,standard_attnres,33,previous,1007616,0.9734792631816088,0.009435227642709577
Jonnester/LR-AttnRes-Full,Full,standard_attnres,34,embedding,1007616,0.025931879363166606,0.010571862879165976
Jonnester/LR-AttnRes-Full,Full,standard_attnres,34,previous,1007616,0.9740681187893317,0.010572816040741959
Jonnester/LR-AttnRes-Full,Full,standard_attnres,35,embedding,1007616,0.03553702794318277,0.013504382517289887
Jonnester/LR-AttnRes-Full,Full,standard_attnres,35,previous,1007616,0.9644629688766914,0.013504540882022341
Jonnester/LR-AttnRes-Full,Full,standard_attnres,36,embedding,1007616,0.027657197970079213,0.009177996009209365
Jonnester/LR-AttnRes-Full,Full,standard_attnres,36,previous,1007616,0.9723427998341196,0.009178314354378481
Jonnester/LR-AttnRes-Full,Full,standard_attnres,37,embedding,1007616,0.05229139321945547,0.026547385008796207
Jonnester/LR-AttnRes-Full,Full,standard_attnres,37,previous,1007616,0.9477086042970176,0.02654726414083309
Jonnester/LR-AttnRes-Full,Full,standard_attnres,38,embedding,1007616,0.024865889376619967,0.008537446378290427
