repo_id,label,group,group_name,attnres_type,attnres_num_blocks,lrid_rank,use_lrid,lrid_key_from_output_tail,use_attnres,paper_val_loss,paper_added_flops,num_batches,tokens_seen,query_query_l2_mean,query_query_l2_median,query_query_abs_mean_mean,query_query_abs_mean_median,query_exact_zero_fraction_mean,query_exact_zero_fraction_median,query_near_zero_1e-8_fraction_mean,query_near_zero_1e-8_fraction_median,query_participation_ratio_mean,query_participation_ratio_median,query_participation_fraction_mean,query_participation_fraction_median,query_hoyer_sparsity_mean,query_hoyer_sparsity_median,query_dims_90_energy_mean,query_dims_90_energy_median,query_dims_95_energy_mean,query_dims_95_energy_median,query_dims_99_energy_mean,query_dims_99_energy_median,query_used_gt_0.001x_max_fraction_mean,query_used_gt_0.001x_max_fraction_median,query_used_gt_0.01x_max_fraction_mean,query_used_gt_0.01x_max_fraction_median,query_used_gt_0.05x_max_fraction_mean,query_used_gt_0.05x_max_fraction_median,query_used_gt_0.1x_max_fraction_mean,query_used_gt_0.1x_max_fraction_median,query_query_dim,query_query_sites,attn_entropy_mean,attn_normalized_entropy_mean,attn_effective_sources_mean,attn_top1_mass_mean,attn_top3_mass_mean,attn_top5_mass_mean,attn_gini_mean,attn_simpson_concentration_mean,attn_js_generalized,attn_mean_weight_cv,attn_contribution_rms_mean,key_raw_key_rms_mean,key_score_key_abs_mean,key_score_key_dim_std_mean,key_score_key_dim_abs_mean,key_value_rms_mean,key_tail_energy_fraction_mean,key_key_value_norm_corr,key_key_value_pairwise_similarity_corr,key_pairwise_samples,key_distributions_seen,check_output_abs_error_max_mean,check_output_rel_error_max_mean
Jonnester/LR-AttnRes-Baseline,Baseline,baseline_transformer,Baseline Transformer,,,,False,False,False,3.0009,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnester/LR-AttnRes-Full,Full,standard_attnres,Standard AttnRes,full,,,False,False,True,2.9752,0.813138,123,1007616,0.3340624440461397,0.3296866863965988,0.008455013943603262,0.008281180635094643,0.0,0.0,0.0,0.0,382.21378389994305,384.77392578125,0.37325564833978814,0.37575578689575195,0.1972162580738465,0.19597619771957397,468.625,470.5,577.5416666666666,578.5,758.7083333333334,761.0,0.9974568684895834,0.998046875,0.9756673177083334,0.97705078125,0.8793131510416666,0.88037109375,0.7672322591145834,0.77001953125,1024,48,2.447539234655054,0.803587271158046,13.805003736844553,0.2626784494951832,0.5074323373354548,0.6506452011020203,0.5328746109413423,0.15483178299104638,0.06128244568889472,0.36388973398547303,0.021956323973022024,0.3568324481122102,0.7999773459751806,0.9698005697023094,0.1893111732771336,0.3568324481122102,1.0,1.0,0.9999999890705297,512,48365568,,
Jonnester/LR-AttnRes-n4,n=4,standard_attnres,Standard AttnRes,block,4,,False,False,True,2.9797,0.111607,123,1007616,0.34988104086369276,0.3344481587409973,0.008794510610944902,0.008376254700124264,0.0,0.0,0.0,0.0,362.2596664428711,363.0683288574219,0.3537692055106163,0.35455891489982605,0.20186461166789135,0.20119623839855194,464.5833333333333,464.0,574.3125,572.5,756.4583333333334,755.0,0.99749755859375,0.998046875,0.9751790364583334,0.9755859375,0.87261962890625,0.87353515625,0.7507527669270834,0.75048828125,1024,48,0.6412001181605081,0.5395492002297619,1.996830314922785,0.7408322860009787,0.9860689131527897,1.0,0.4913162437007639,0.6365566988775966,0.029077475700962457,0.42745358851056564,0.23568224306123678,0.9149587953472571,0.8155431440529138,0.9480443176171125,0.23563067012752942,0.9149587953472571,1.0,1.0,0.9999999869541241,512,48365568,,
Jonnester/LR-AttnRes-n8,n=8,standard_attnres,Standard AttnRes,block,8,,False,False,True,2.9778,0.175383,123,1007616,0.3196774711832404,0.30526815354824066,0.008058967388933524,0.007658858085051179,0.0,0.0,0.0,0.0,366.9514865875244,369.47418212890625,0.3583510611206293,0.36081463098526,0.20000196993350983,0.19859609007835388,466.4791666666667,466.0,576.3333333333334,577.0,759.1041666666666,760.0,0.99737548828125,0.9970703125,0.9764607747395834,0.9765625,0.8755900065104166,0.87451171875,0.756591796875,0.75732421875,1024,48,1.0131096138813227,0.6246210998353273,3.0098543530355304,0.5978754192015262,0.921466816862828,0.982603564484898,0.5198681785126891,0.4790428304504653,0.04130481789499702,0.39100233986531047,0.15186991014165055,0.8099473581859765,0.809876168294034,0.9550843165877592,0.22727654748188472,0.8099473581859765,1.0,1.0,0.9999999857571137,512,48365568,,
Jonnester/LR-AttnRes-n16,n=16,standard_attnres,Standard AttnRes,block,16,,False,False,True,2.9673,0.302934,123,1007616,0.3112454954534769,0.30551348626613617,0.00786268170728969,0.007689933758229017,0.0,0.0,0.0,0.0,373.73365847269696,375.0796813964844,0.3649742758522431,0.3662887513637543,0.1984903197735548,0.1980777606368065,467.7291666666667,469.0,577.2083333333334,578.5,760.9583333333334,763.0,0.9973551432291666,0.998046875,0.9758504231770834,0.974609375,0.8820597330729166,0.88427734375,0.7628173828125,0.76611328125,1024,48,1.5183133073226829,0.7141596784633469,5.152480764884936,0.4500323642565185,0.7884934770049362,0.9022742702264773,0.5314148459861151,0.3215054291045561,0.04014211152565367,0.340799496751878,0.07404260841259762,0.6213062728030283,0.8038744440459267,0.9517201169220878,0.23493082547442054,0.6213062728030283,1.0,1.0,0.9999999857317593,512,48365568,,
Jonnester/LR-AttnRes-tail-r16,Full r=16,sliced_lr_attnres,Sliced LR-AttnRes,full,,16,True,True,True,2.9762,0.412922,123,1007616,0.24056846741586924,0.2395673468708992,0.058191380153099694,0.0592041015625,0.0,0.0,0.0,0.0,13.658211648464203,14.03422737121582,0.8536382280290127,0.8771392107009888,0.04539053156304362,0.04189391992986202,12.916666666666666,13.0,14.020833333333334,14.0,15.354166666666666,16.0,1.0,1.0,0.9973958333333334,1.0,0.9921875,1.0,0.984375,1.0,16,48,2.9285983524075774,0.965083069675337,23.73881335245561,0.13367033272673726,0.3060730232423055,0.4249459896943353,0.21705651306105542,0.08832536277873569,0.015879946189442325,0.16395226229168927,0.01788757276786335,0.46197473883947154,0.8142319580278663,0.9623120610502918,0.2354777309153118,0.3018887906004068,0.03716581625272721,0.8035896905887019,0.8209087921907736,512,48365568,,
Jonnester/LR-AttnRes-tail-r32,Full r=32,sliced_lr_attnres,Sliced LR-AttnRes,full,,32,True,True,True,2.9682,0.419274,123,1007616,0.3014494078233838,0.30500197410583496,0.050872831915815674,0.0513911247253418,0.0,0.0,0.0,0.0,26.30272392431895,26.415696144104004,0.8219601226349672,0.8254905045032501,0.05726959786261432,0.05105128139257431,23.770833333333332,24.0,26.333333333333332,27.0,29.354166666666668,29.0,1.0,1.0,0.9986979166666666,1.0,0.9889322916666666,1.0,0.9739583333333334,1.0,32,48,2.849403825505236,0.9325712164788227,22.141153003667103,0.1642577186495641,0.3517825125481903,0.4750702728247295,0.3001926884554872,0.10327187927028413,0.030203413133280805,0.22771930534567508,0.017895784923678063,0.39480480882737806,0.8113573011361461,0.9532096338831471,0.2734608998886905,0.2955267991494728,0.0546701592491454,0.9351202110828072,0.8588204120457316,512,48365568,,
Jonnester/LR-AttnRes-tail-r64,Full r=64,sliced_lr_attnres,Sliced LR-AttnRes,full,,64,True,True,True,2.9638,0.43198,123,1007616,0.3437862762560447,0.3410637080669403,0.03960607014596462,0.039843469858169556,0.0,0.0,0.0,0.0,44.43778149286906,43.88580322265625,0.694340335826079,0.6857156753540039,0.09158928486673783,0.09626906365156174,42.4375,41.0,48.0,47.0,55.541666666666664,55.0,0.9983723958333334,1.0,0.9938151041666666,1.0,0.9755859375,0.984375,0.9508463541666666,0.953125,64,48,2.7602354953504675,0.8971228911099719,20.49981639514044,0.19273483906468747,0.3905522215753027,0.5145022505061413,0.36994143520913475,0.12046279089347407,0.044792257795976544,0.2810488918246808,0.01757472425403789,0.35881307658980544,0.807832344195384,0.9556392305094119,0.26023584699402413,0.29684797264336654,0.0899210526942027,0.9625103493038131,0.8888900726546085,512,48365568,,
Jonnester/LR-AttnRes-tail-r128,Full r=128,sliced_lr_attnres,Sliced LR-AttnRes,full,,128,True,True,True,2.963,0.45739,123,1007616,0.35357105918228626,0.35301005840301514,0.027591643234093983,0.026949800550937653,0.0,0.0,0.0,0.0,73.9563045501709,71.24084091186523,0.5777836292982101,0.5565690696239471,0.13056467186349133,0.1353149488568306,74.27083333333333,72.0,85.875,83.5,103.72916666666667,103.0,0.99951171875,1.0,0.9910481770833334,0.9921875,0.9480794270833334,0.953125,0.9049479166666666,0.90234375,128,48,2.699905352934508,0.8756999748943217,19.208004197272345,0.2086118598251546,0.41767466032428313,0.5454703423227398,0.41288166752635297,0.1286207734585707,0.055978952373995805,0.32506800822029,0.017426672095986917,0.3350227335426859,0.804910129396117,0.9635812426962977,0.2231462539872138,0.302195890318808,0.15169480953701492,0.9740572052662878,0.9329835856940611,512,48365568,,
Jonnester/LR-AttnRes-tail-r256,Full r=256,sliced_lr_attnres,Sliced LR-AttnRes,full,,256,True,True,True,2.9626,0.508211,123,1007616,0.347480034455657,0.3444090187549591,0.018501333717722446,0.018201851285994053,0.0,0.0,0.0,0.0,126.84076658884685,124.7497444152832,0.495471744487683,0.4873036891222,0.15906111663207412,0.16245867311954498,132.64583333333334,131.5,158.45833333333334,157.0,199.4375,199.0,0.9989420572916666,1.0,0.9860026041666666,0.986328125,0.9280598958333334,0.927734375,0.861572265625,0.859375,256,48,2.6503509633939686,0.8598040615796517,18.161086754525098,0.21769386404105603,0.43644349637938545,0.5648810847846635,0.44429545075731064,0.13380140464167367,0.060747657917810303,0.34291023555101496,0.018029164771917308,0.325760810612378,0.8024927997794666,0.9707770855821289,0.19676946854382235,0.3079091173109368,0.277127008629587,0.9878293160019586,0.9712060221983679,512,48365568,,
