repo_id,label,group,residual_idx,query_dim,query_l2,query_l1,query_abs_mean,query_abs_median,query_max_abs,exact_zero_fraction,near_zero_1e-8_fraction,participation_ratio,participation_fraction,hoyer_sparsity,dims_90_energy,dims_95_energy,dims_99_energy,used_gt_0.001x_max_fraction,used_gt_0.01x_max_fraction,used_gt_0.05x_max_fraction,used_gt_0.1x_max_fraction
Jonnester/LR-AttnRes-Full,Full,standard_attnres,1,1024,0.18919061124324799,4.849504470825195,0.00473584420979023,0.004058837890625,0.016357421875,0.0,0.0,375.4237365722656,0.36662474274635315,0.20539025962352753,456,560,745,0.99609375,0.98046875,0.8876953125,0.7666015625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,2,1024,0.3319135308265686,8.431011199951172,0.008233409374952316,0.00689697265625,0.032958984375,0.0,0.0,335.27496337890625,0.32741695642471313,0.21286360919475555,452,564,746,0.9931640625,0.9658203125,0.8583984375,0.7470703125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,1024,0.2813228666782379,7.254598617553711,0.007084568962454796,0.0061492919921875,0.0274658203125,0.0,0.0,371.1836242675781,0.36248400807380676,0.20040494203567505,462,569,763,0.9990234375,0.9814453125,0.884765625,0.7666015625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,1024,0.22606782615184784,5.774405002593994,0.005639067385345697,0.00457763671875,0.021240234375,0.0,0.0,353.1189880371094,0.3448427617549896,0.20829680562019348,448,560,762,0.9990234375,0.978515625,0.8955078125,0.7626953125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,1024,0.23303481936454773,5.947532653808594,0.005808137357234955,0.0048065185546875,0.0240478515625,0.0,0.0,340.363525390625,0.3323862552642822,0.2089652419090271,455,570,760,0.998046875,0.974609375,0.875,0.759765625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,1024,0.277569442987442,7.011810302734375,0.006847470998764038,0.00555419921875,0.03271484375,0.0,0.0,330.3704528808594,0.32262739539146423,0.21737214922904968,440,555,746,0.9970703125,0.9697265625,0.8388671875,0.6962890625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,1024,0.26520684361457825,6.771518707275391,0.006612811237573624,0.005645751953125,0.03125,0.0,0.0,337.5485534667969,0.3296372592449188,0.20861385762691498,455,565,752,0.9970703125,0.9775390625,0.8505859375,0.7138671875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,1024,0.3062470555305481,7.821568489074707,0.007638250477612019,0.0064849853515625,0.033203125,0.0,0.0,357.4992370605469,0.3491203486919403,0.20838509500026703,454,562,747,0.99609375,0.974609375,0.845703125,0.720703125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,1024,0.27791234850883484,7.197018623352051,0.007028338499367237,0.006134033203125,0.026123046875,0.0,0.0,383.234130859375,0.3742520809173584,0.19687996804714203,473,582,761,0.9990234375,0.9697265625,0.8759765625,0.7763671875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,10,1024,0.29058802127838135,7.454220771789551,0.007279512472450733,0.00634765625,0.033447265625,0.0,0.0,368.6497497558594,0.3600095212459564,0.20476789772510529,463,567,735,0.9921875,0.958984375,0.833984375,0.70703125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,11,1024,0.28478625416755676,7.438333034515381,0.007263997104018927,0.0064239501953125,0.028076171875,0.0,0.0,391.68994140625,0.382509708404541,0.18970957398414612,479,588,770,0.9921875,0.97265625,0.888671875,0.76953125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,12,1024,0.3050397038459778,7.8349480628967285,0.0076513164676725864,0.00640869140625,0.0299072265625,0.0,0.0,351.16351318359375,0.34293311834335327,0.20370931923389435,462,576,759,0.9990234375,0.97265625,0.8740234375,0.767578125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,13,1024,0.29965898394584656,7.680774688720703,0.007500756531953812,0.0064697265625,0.0257568359375,0.0,0.0,388.15692138671875,0.37905949354171753,0.20542846620082855,451,555,736,0.9990234375,0.97265625,0.8701171875,0.7646484375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,14,1024,0.2998161017894745,7.518197059631348,0.007341989316046238,0.0059967041015625,0.03369140625,0.0,0.0,319.5484619140625,0.31205904483795166,0.22335390746593475,433,543,737,0.9990234375,0.97265625,0.849609375,0.6884765625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,15,1024,0.31703606247901917,8.254528045654297,0.008061062544584274,0.00714111328125,0.0286865234375,0.0,0.0,400.850830078125,0.39145588874816895,0.19236908853054047,472,578,759,0.998046875,0.982421875,0.884765625,0.78125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,16,1024,0.3061114549636841,7.930933475494385,0.007745052222162485,0.0066375732421875,0.02734375,0.0,0.0,380.8051452636719,0.37188002467155457,0.19649530947208405,469,580,765,0.9970703125,0.9794921875,0.892578125,0.7880859375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,17,1024,0.25757837295532227,6.725956439971924,0.006568316835910082,0.005859375,0.02294921875,0.0,0.0,397.27001953125,0.38795900344848633,0.18992669880390167,480,586,768,0.9970703125,0.978515625,0.89453125,0.7958984375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,18,1024,0.263470321893692,6.681014060974121,0.00652442779392004,0.0054168701171875,0.0291748046875,0.0,0.0,336.50946044921875,0.3286225199699402,0.21426619589328766,449,564,744,0.9970703125,0.9638671875,0.85546875,0.7138671875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,19,1024,0.366687148809433,9.520657539367676,0.009297517128288746,0.00799560546875,0.0302734375,0.0,0.0,408.8708190917969,0.3992879092693329,0.19471032917499542,472,581,752,0.998046875,0.9736328125,0.8798828125,0.796875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,20,1024,0.3229278028011322,8.34820556640625,0.008152544498443604,0.0069580078125,0.03173828125,0.0,0.0,383.32781982421875,0.3743435740470886,0.1983349770307541,465,577,756,0.9990234375,0.9755859375,0.87109375,0.767578125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,21,1024,0.2811378538608551,7.348113059997559,0.007175891660153866,0.006317138671875,0.027099609375,0.0,0.0,391.3884582519531,0.382215291261673,0.18912751972675323,486,598,769,0.998046875,0.9755859375,0.8828125,0.7802734375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,22,1024,0.3759126365184784,9.668025970458984,0.009441431611776352,0.008056640625,0.037353515625,0.0,0.0,377.73834228515625,0.3688850998878479,0.20261900126934052,462,568,746,0.9951171875,0.9658203125,0.8681640625,0.7431640625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,23,1024,0.33194634318351746,8.592842102050781,0.008391447365283966,0.0068817138671875,0.03173828125,0.0,0.0,361.79638671875,0.3533167839050293,0.197218120098114,470,589,772,0.9970703125,0.9814453125,0.8896484375,0.77734375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,24,1024,0.38818830251693726,10.121692657470703,0.009884465485811234,0.00885009765625,0.042236328125,0.0,0.0,394.6424865722656,0.38539305329322815,0.19115540385246277,476,579,763,0.9970703125,0.97265625,0.859375,0.740234375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,25,1024,0.3178950250148773,8.252212524414062,0.008058801293373108,0.006988525390625,0.0341796875,0.0,0.0,366.5118408203125,0.3579217195510864,0.19487343728542328,474,589,778,1.0,0.9775390625,0.87890625,0.765625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,26,1024,0.42075660824775696,10.914775848388672,0.010658960789442062,0.00970458984375,0.0361328125,0.0,0.0,397.6839294433594,0.38836321234703064,0.1954570859670639,475,575,742,0.9990234375,0.978515625,0.87890625,0.775390625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,27,1024,0.32745984196662903,8.528846740722656,0.008328951895236969,0.007171630859375,0.03173828125,0.0,0.0,387.1470031738281,0.37807324528694153,0.1920815110206604,477,586,769,0.998046875,0.982421875,0.888671875,0.779296875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,28,1024,0.35190650820732117,9.077068328857422,0.008864324539899826,0.007781982421875,0.033203125,0.0,0.0,375.2071228027344,0.3664132058620453,0.20019426941871643,467,574,751,0.9990234375,0.9765625,0.8720703125,0.7685546875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,29,1024,0.35587096214294434,9.194482803344727,0.008978987112641335,0.007781982421875,0.034912109375,0.0,0.0,379.25445556640625,0.3703656792640686,0.1988205462694168,462,571,767,0.9951171875,0.978515625,0.8935546875,0.76171875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,30,1024,0.3822407126426697,9.972981452941895,0.009739239700138569,0.0086669921875,0.036865234375,0.0,0.0,403.19085693359375,0.39374107122421265,0.19061802327632904,481,585,754,0.99609375,0.9765625,0.87109375,0.7646484375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,31,1024,0.3543913662433624,9.21125602722168,0.008995367214083672,0.007781982421875,0.0303955078125,0.0,0.0,388.26507568359375,0.3791651129722595,0.19381412863731384,472,584,764,1.0,0.9833984375,0.900390625,0.80078125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,32,1024,0.37153738737106323,9.709178924560547,0.009481620043516159,0.00836181640625,0.030029296875,0.0,0.0,411.2088928222656,0.4015711843967438,0.18927611410617828,479,587,761,0.9951171875,0.9775390625,0.8994140625,0.80078125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,33,1024,0.3186316192150116,8.34032917022705,0.008144852705299854,0.007537841796875,0.02978515625,0.0,0.0,415.9043884277344,0.40615662932395935,0.18788835406303406,485,585,755,0.9931640625,0.966796875,0.880859375,0.7705078125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,34,1024,0.3773694336414337,9.736810684204102,0.009508604183793068,0.00848388671875,0.033447265625,0.0,0.0,385.4984436035156,0.3764633238315582,0.199941948056221,471,576,745,0.9970703125,0.9697265625,0.8681640625,0.7705078125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,35,1024,0.3612931966781616,9.396444320678711,0.009176215156912804,0.0081787109375,0.03466796875,0.0,0.0,395.8927001953125,0.38661396503448486,0.19329649209976196,475,578,753,0.998046875,0.9716796875,0.8798828125,0.7607421875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,36,1024,0.3322068750858307,8.633589744567871,0.008431239984929562,0.0072021484375,0.0322265625,0.0,0.0,384.0494079589844,0.3750482499599457,0.19391632080078125,470,582,766,0.9990234375,0.978515625,0.890625,0.7724609375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,37,1024,0.4232901632785797,10.96112060546875,0.010704219341278076,0.00909423828125,0.037841796875,0.0,0.0,386.2013854980469,0.3771497905254364,0.1969338059425354,463,572,761,0.998046875,0.9775390625,0.8955078125,0.791015625
Jonnester/LR-AttnRes-Full,Full,standard_attnres,38,1024,0.3456200063228607,9.013570785522461,0.008802315220236778,0.007843017578125,0.03173828125,0.0,0.0,389.70611572265625,0.3805723786354065,0.19098632037639618,475,584,774,0.998046875,0.9814453125,0.9013671875,0.794921875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,39,1024,0.406585693359375,10.685481071472168,0.010435040108859539,0.00921630859375,0.03173828125,0.0,0.0,427.4479675292969,0.417429655790329,0.18448367714881897,482,589,767,0.9990234375,0.978515625,0.90234375,0.8251953125
Jonnester/LR-AttnRes-Full,Full,standard_attnres,40,1024,0.3113544285297394,7.995116233825684,0.007807730697095394,0.006500244140625,0.0322265625,0.0,0.0,364.68524169921875,0.3561379313468933,0.2039192020893097,462,575,753,0.9951171875,0.9716796875,0.8623046875,0.748046875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,41,1024,0.4144167900085449,10.908203125,0.010652542114257812,0.00909423828125,0.034423828125,0.0,0.0,428.162841796875,0.41812777519226074,0.18316717445850372,478,593,774,1.0,0.9833984375,0.9052734375,0.8115234375
Jonnester/LR-AttnRes-Full,Full,standard_attnres,42,1024,0.41564685106277466,10.899271965026855,0.010643820278346539,0.0093994140625,0.037841796875,0.0,0.0,407.8086242675781,0.39825060963630676,0.18637312948703766,482,591,767,0.9990234375,0.9892578125,0.8916015625,0.78515625
