repo_id,label,group,residual_idx,num_sources,distributions,entropy_mean,entropy_std,normalized_entropy_mean,effective_sources_mean,top1_mass_mean,top3_mass_mean,top5_mass_mean,gini_mean,simpson_concentration_mean,js_generalized,mean_weight_cv,contribution_rms_mean
Jonnester/LR-AttnRes-Full,Full,standard_attnres,1,2,1007616,0.148947163083689,0.045163957385141645,0.21488533078170405,1.1618199794273065,0.9649874354765667,1.0,1.0,0.4649874345073855,0.9328609094387148,0.0028105719597799894,0.2182891756283121,0.03351733809321877
Jonnester/LR-AttnRes-Full,Full,standard_attnres,2,3,1007616,0.8994051872230158,0.10368843797574241,0.8186738781812715,2.4711431817310614,0.5975954697384098,1.0,1.0,0.309672447724071,0.46656113984138986,0.09128969662213948,0.4707800129903497,0.17475842484613743
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,4,1007616,0.6834565672448011,0.12190282883318694,0.49300969180052845,1.9954276143050775,0.7706377603174225,0.9934570629422258,1.0,0.5956978051643061,0.6305213434909417,0.032232903208467834,0.4044958614783576,0.03723800888027602
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,5,1007616,1.457558862562102,0.05691192383187554,0.9056322017336279,4.302308264786635,0.35208935805452546,0.8034969359878602,1.0,0.2807164129202928,0.2575286941799691,0.030593621275555538,0.25211922971967365,0.08846318731463053
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,6,1007616,1.521613534873094,0.053534004748734904,0.8492286370052555,4.586092747323882,0.35002084500421354,0.7801199439095288,0.991170975735517,0.3754681586250057,0.24609624188605364,0.045870292986801564,0.2897458103681901,0.06067086041458254
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,7,1007616,1.7387664182399347,0.08415378381455468,0.893549228102211,5.709328678565297,0.3026327321199867,0.6677493986075487,0.8975035790505448,0.3298543585025198,0.2017876805086446,0.04051369403530036,0.2809839445519443,0.05596161636325956
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,8,1007616,1.743509475777789,0.09053561185049515,0.8384508287034383,5.740168912623956,0.31423100368763374,0.6990815614297138,0.8996326104412234,0.4282163427612646,0.20805420114742063,0.09374925918820698,0.3889726214029431,0.039632915269310884
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,9,1007616,1.9426176344476096,0.20318955361693353,0.8841233767145048,7.098955418036236,0.316367930270792,0.5890492879278292,0.7797646328685729,0.35103795320037906,0.1880720094209764,0.07160171925616665,0.3448620390949959,0.040406846068631236
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,10,1007616,1.9196437170835046,0.06863229635236641,0.8336906336187347,6.83437429211004,0.2790184348094754,0.6299589242392439,0.8440501815904446,0.4644407191412236,0.17614543607564476,0.0567734385233174,0.3357898379019064,0.031950238904332726
Jonnester/LR-AttnRes-Full,Full,standard_attnres,10,11,1007616,2.0395227796663113,0.1169045051247285,0.8505470621876601,7.737994515798925,0.26831261898443953,0.5920473046419097,0.7806897929044274,0.44761837497959295,0.16297153946830006,0.06723185612084759,0.3307201174928079,0.029317536732045617
Jonnester/LR-AttnRes-Full,Full,standard_attnres,11,12,1007616,2.121989364546489,0.07549502770459984,0.8539513519139794,8.370881266710235,0.22184129858889232,0.53139541788799,0.7502150094606043,0.44740174892472057,0.1404911024056799,0.08711111733650156,0.39551007306347846,0.02498046605567622
Jonnester/LR-AttnRes-Full,Full,standard_attnres,12,13,1007616,2.227288288798759,0.1378519927627271,0.8683557180854363,9.355333754686805,0.25771572907281115,0.5194273130680488,0.6872122670576825,0.42453741809216944,0.1405633973881481,0.06735883504050255,0.32378189182632194,0.024626594230187843
Jonnester/LR-AttnRes-Full,Full,standard_attnres,13,14,1007616,2.2249452505654435,0.1487019334387732,0.8430833147793282,9.347355090505708,0.28034392241539996,0.5418857248818002,0.7070580774206456,0.4753923341026151,0.14978219689877054,0.10164992375856663,0.41188427833820557,0.022187710517928713
Jonnester/LR-AttnRes-Full,Full,standard_attnres,14,15,1007616,2.3980577011418536,0.07989564280148873,0.8855292598406473,11.035331346155182,0.20921388849979494,0.4665414705509093,0.6387911797539005,0.4185962003421008,0.1128473506589246,0.05426030649077651,0.3170426883167105,0.021198075961291304
Jonnester/LR-AttnRes-Full,Full,standard_attnres,15,16,1007616,2.44407461135368,0.08742929334754368,0.8815135679593901,11.562276320728829,0.17563479436122306,0.4253293464823467,0.6119702177319101,0.42930532616328415,0.10324232801189268,0.10307976644390449,0.44496768760935285,0.019346697043960658
Jonnester/LR-AttnRes-Full,Full,standard_attnres,16,17,1007616,2.473352595073421,0.13544540147014925,0.872984932690132,11.964563191421632,0.20982750571840178,0.4352597565185733,0.5981329223973965,0.44316712070286757,0.11010679554163925,0.06971628428482202,0.36009805238415515,0.019300091172564492
Jonnester/LR-AttnRes-Full,Full,standard_attnres,17,18,1007616,2.532701366316012,0.10740257333519362,0.8762545634091385,12.658521667728579,0.21778994108118663,0.43577589421737484,0.5879762681519113,0.4452939384836492,0.10554414999678852,0.051531149453811764,0.3241910824759463,0.017695770327207087
Jonnester/LR-AttnRes-Full,Full,standard_attnres,18,19,1007616,2.629672098935135,0.054006313822918234,0.8930978445502801,13.889268448682335,0.1853681434460772,0.4010386372484812,0.5465301091108865,0.4236294610228965,0.09016676780169572,0.029470060858809877,0.26389820658298613,0.017269374521359144
Jonnester/LR-AttnRes-Full,Full,standard_attnres,19,20,1007616,2.5848944807440284,0.09710358826464936,0.8628589321927327,13.322005791392753,0.1768717058305818,0.3998366875377128,0.5637082220093022,0.4811701348157433,0.09478164773161818,0.09504935848225493,0.42781310271573914,0.015685471504684387
Jonnester/LR-AttnRes-Full,Full,standard_attnres,20,21,1007616,2.484791982464674,0.11081533017711954,0.8161516044198013,12.071108670738655,0.2386746299945242,0.5076592646963228,0.6462059650963884,0.553630928683087,0.12193922746956833,0.06958787370711939,0.3461484579989039,0.0157151235612935
