repo_id,label,group,residual_idx,source_slot,count,weight_mean,weight_std,weight_cv,logit_mean,logit_std
Jonnester/LR-AttnRes-Full,Full,standard_attnres,1,0,1007616,0.9649869586394085,0.014750580412174379,0.015285782134270585,0.18393662814202347,0.3506772506456789
Jonnester/LR-AttnRes-Full,Full,standard_attnres,1,1,1007616,0.035013042360059615,0.01475073456865931,0.42129256912235363,-3.205273124260631,0.21906125751345384
Jonnester/LR-AttnRes-Full,Full,standard_attnres,2,0,1007616,0.2691314151374305,0.1690104801766241,0.6279849570527462,1.473385708118842,1.0076951724102163
Jonnester/LR-AttnRes-Full,Full,standard_attnres,2,1,1007616,0.18028716331090383,0.09382343783033695,0.5204110825602106,1.1130885728975621,0.08743251223925821
Jonnester/LR-AttnRes-Full,Full,standard_attnres,2,2,1007616,0.5505814232477327,0.14532266282427714,0.2639439993580923,2.312900764186208,0.5881990349863265
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,0,1007616,0.7706366995485817,0.06216901368968499,0.08067227232508123,-0.6102575141239942,0.5008559336171203
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,1,1007616,0.006543946743950369,0.0030898128045015426,0.4721635009267087,-5.480858895836807,0.1448728618783876
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,2,1007616,0.1391649632071092,0.05900080677102575,0.4239630824550221,-2.421622468204033,0.7765309214619025
Jonnester/LR-AttnRes-Full,Full,standard_attnres,3,3,1007616,0.08365438981511729,0.053637905652590696,0.6411845902066184,-3.0428327583685153,0.36535937912039657
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,0,1007616,0.15266492187492248,0.0421592988014563,0.27615576835651334,0.005936162011523739,0.21852936577602244
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,1,1007616,0.05535690422828605,0.014300939214663527,0.2583406607365173,-1.0019395021888298,0.16513646102830032
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,2,1007616,0.2081950357774409,0.05022933731089434,0.24126097494749665,0.32290029501527306,0.304053059310168
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,3,1007616,0.2554794863714435,0.06091663975236437,0.23844043456309919,0.5291688224164451,0.276217456813316
Jonnester/LR-AttnRes-Full,Full,standard_attnres,4,4,1007616,0.32830365256565375,0.08089346515727795,0.24639830999474177,0.7797238419695598,0.3617092050422118
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,0,1007616,0.18065846511503544,0.06254096688441038,0.3461834287398989,0.09496808270128762,0.29515808037257335
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,1,1007616,0.008829276047162408,0.0020053285164863778,0.22712264355250952,-2.8822822764637026,0.09155557991579541
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,2,1007616,0.2840862334743748,0.09066926523807611,0.31916106644518094,0.5537166876521536,0.5037529972587863
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,3,1007616,0.08683734284183843,0.025567491412982406,0.29442968400760333,-0.6155491226572332,0.22887748660277077
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,4,1007616,0.15541633600141944,0.0457412707382312,0.2943144325433939,-0.03330007838075829,0.41530242621515295
Jonnester/LR-AttnRes-Full,Full,standard_attnres,5,5,1007616,0.2841723466791758,0.0731072028937629,0.25726360692055406,0.5769938715105134,0.29632369776501327
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,0,1007616,0.10443995995977061,0.028671729222370834,0.2745283436858358,-0.06680384620539541,0.25520956843598186
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,1,1007616,0.0190217513288182,0.004738001491817684,0.24908334726464176,-1.760858892425289,0.172984293727904
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,2,1007616,0.10092085866424126,0.028435485026912524,0.2817602367169307,-0.10394616194856846,0.3098408720702176
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,3,1007616,0.2301670348014289,0.05591633292307662,0.24293806005415633,0.727503866684146,0.25212252866629453
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,4,1007616,0.1428491601614448,0.04014493885865066,0.28103027566476263,0.24449887144856336,0.3255477994365284
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,5,1007616,0.1312128495031256,0.04021149881797933,0.3064600682802903,0.15068357615027486,0.27345646184401495
Jonnester/LR-AttnRes-Full,Full,standard_attnres,6,6,1007616,0.2713883843848376,0.08985324206303186,0.33108728019699263,0.8768623059358054,0.47224449783791983
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,0,1007616,0.17455069817663207,0.06019821946273092,0.3448752717208549,0.03386606980584622,0.2693428930308052
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,1,1007616,0.010377120158476074,0.0025227140247463357,0.24310348017756858,-2.757830117776142,0.12256178315668242
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,2,1007616,0.17297637813944158,0.11927620636827374,0.6895519934642262,-0.21270950945715109,1.0056710894969223
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,3,1007616,0.02379331768043642,0.00850852379973962,0.3576014036384503,-1.9640972149081346,0.29148293467805453
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,4,1007616,0.08480465121385528,0.031503854816156945,0.3714873460974731,-0.6958197272889982,0.4372895234109031
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,5,1007616,0.26447081541627404,0.07734734192702501,0.29246078364178363,0.4636800228580227,0.3086121937302939
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,6,1007616,0.10192250018197346,0.03930115052747756,0.3855983757983653,-0.5298207050901118,0.5594552360756507
Jonnester/LR-AttnRes-Full,Full,standard_attnres,7,7,1007616,0.16710452093341485,0.07137072801916892,0.4271023166848226,-0.045413490691472116,0.39929824779559786
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,0,1007616,0.08827261657007342,0.032192944190916825,0.3646991042274261,-0.09825193067270566,0.2982646222509433
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,1,1007616,0.04118287060561219,0.009287013564987278,0.2255067077262383,-0.8189702605813499,0.1285900990567754
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,2,1007616,0.07862181513290095,0.022092182123681615,0.2809930308316766,-0.1813922485684961,0.2976794860730662
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,3,1007616,0.1326133880794533,0.03734716291924443,0.2816243779011848,0.3310514566132693,0.24967382946322875
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,4,1007616,0.0821203335029323,0.026168943883980524,0.31866582571837826,-0.14845140108732674,0.32161348695281117
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,5,1007616,0.042456605872972224,0.014691995783766183,0.34604734602958626,-0.8215423798173423,0.23992201989376458
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,6,1007616,0.10024889582783227,0.034820718018865944,0.34734265880261805,0.04307666072258499,0.34447062274022144
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,7,1007616,0.1341577671407684,0.0648731697573839,0.4835588064708478,0.2708277323745131,0.4330605060829575
Jonnester/LR-AttnRes-Full,Full,standard_attnres,8,8,1007616,0.3003257089029483,0.1367444501827406,0.455320494147007,1.1029311529989165,0.6196957366467654
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,0,1007616,0.12564277212794234,0.04307735113604546,0.34285578395372945,0.1353410488463999,0.34485485960050344
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,1,1007616,0.003849234138577571,0.0007832443896363618,0.20348057858745858,-3.3091364216998342,0.10340630311017038
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,2,1007616,0.15277580462577867,0.0672442284490158,0.44014972536868135,0.2760511234523804,0.5332965421903513
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,3,1007616,0.009797631126896637,0.0030574573734033486,0.3120608781657395,-2.4051928520202637,0.31480482690950196
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,4,1007616,0.04714358491989655,0.020348513755678276,0.4316284769232803,-0.8771535550675741,0.43309260664968885
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,5,1007616,0.2607008772410028,0.05636634529313923,0.21621080024610664,0.896680408861579,0.2935043439322677
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,6,1007616,0.05579221530295,0.020994923907154454,0.3763056152754048,-0.6879626357458472,0.320974752795179
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,7,1007616,0.1488452699126267,0.05785594304456941,0.38869856649479884,0.29346214477124255,0.4132960981682219
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,8,1007616,0.15169079432157967,0.050740159611960475,0.334497289956785,0.32707824503503197,0.3657592154801772
Jonnester/LR-AttnRes-Full,Full,standard_attnres,9,9,1007616,0.04376181566376027,0.013654153165155739,0.3120106640470798,-0.9076914225167375,0.3123659057225989
Jonnester/LR-AttnRes-Full,Full,standard_attnres,10,0,1007616,0.08002299082473041,0.02489831044724693,0.31113946367963446,-0.01434469160555703,0.28769659202808073
